nohup: ignoring input

========================= ROUND 1 =========================
Target: 200000 IDs
-> Batch progress: 100/200000 | Success: 97
-> Batch progress: 200/200000 | Success: 191
-> Batch progress: 300/200000 | Success: 287
-> Batch progress: 400/200000 | Success: 383
-> Batch progress: 500/200000 | Success: 478
-> Batch progress: 600/200000 | Success: 576
-> Batch progress: 700/200000 | Success: 674
-> Batch progress: 800/200000 | Success: 774
-> Batch progress: 900/200000 | Success: 871
-> Batch progress: 1000/200000 | Success: 964
-> Batch progress: 1100/200000 | Success: 1063
-> Batch progress: 1200/200000 | Success: 1160
-> Batch progress: 1300/200000 | Success: 1253
-> Batch progress: 1400/200000 | Success: 1352
-> Batch progress: 1500/200000 | Success: 1448
-> Batch progress: 1600/200000 | Success: 1546
-> Batch progress: 1700/200000 | Success: 1641
-> Batch progress: 1800/200000 | Success: 1741
-> Batch progress: 1900/200000 | Success: 1835
-> Batch progress: 2000/200000 | Success: 1933
-> Batch progress: 2100/200000 | Success: 2030
-> Batch progress: 2200/200000 | Success: 2123
-> Batch progress: 2300/200000 | Success: 2216
-> Batch progress: 2400/200000 | Success: 2312
-> Batch progress: 2500/200000 | Success: 2411
-> Batch progress: 2600/200000 | Success: 2504
-> Batch progress: 2700/200000 | Success: 2596
-> Batch progress: 2800/200000 | Success: 2694
-> Batch progress: 2900/200000 | Success: 2792
-> Batch progress: 3000/200000 | Success: 2885
-> Batch progress: 3100/200000 | Success: 2977
-> Batch progress: 3200/200000 | Success: 3069
-> Batch progress: 3300/200000 | Success: 3166
-> Batch progress: 3400/200000 | Success: 3260
-> Batch progress: 3500/200000 | Success: 3356
-> Batch progress: 3600/200000 | Success: 3447
-> Batch progress: 3700/200000 | Success: 3535
-> Batch progress: 3800/200000 | Success: 3631
-> Batch progress: 3900/200000 | Success: 3723
-> Batch progress: 4000/200000 | Success: 3816
-> Batch progress: 4100/200000 | Success: 3912
-> Batch progress: 4200/200000 | Success: 4001
-> Batch progress: 4300/200000 | Success: 4097
-> Batch progress: 4400/200000 | Success: 4195
-> Batch progress: 4500/200000 | Success: 4290
-> Batch progress: 4600/200000 | Success: 4388
-> Batch progress: 4700/200000 | Success: 4486
-> Batch progress: 4800/200000 | Success: 4582
-> Batch progress: 4900/200000 | Success: 4679
-> Batch progress: 5000/200000 | Success: 4770
-> Batch progress: 5100/200000 | Success: 4868
-> Batch progress: 5200/200000 | Success: 4959
-> Batch progress: 5300/200000 | Success: 5053
-> Batch progress: 5400/200000 | Success: 5147
-> Batch progress: 5500/200000 | Success: 5243
-> Batch progress: 5600/200000 | Success: 5339
-> Batch progress: 5700/200000 | Success: 5430
-> Batch progress: 5800/200000 | Success: 5527
-> Batch progress: 5900/200000 | Success: 5616
-> Batch progress: 6000/200000 | Success: 5714
-> Batch progress: 6100/200000 | Success: 5812
-> Batch progress: 6200/200000 | Success: 5908
-> Batch progress: 6300/200000 | Success: 6002
-> Batch progress: 6400/200000 | Success: 6097
-> Batch progress: 6500/200000 | Success: 6188
-> Batch progress: 6600/200000 | Success: 6285
-> Batch progress: 6700/200000 | Success: 6382
-> Batch progress: 6800/200000 | Success: 6475
-> Batch progress: 6900/200000 | Success: 6572
-> Batch progress: 7000/200000 | Success: 6661
-> Batch progress: 7100/200000 | Success: 6759
-> Batch progress: 7200/200000 | Success: 6858
-> Batch progress: 7300/200000 | Success: 6950
-> Batch progress: 7400/200000 | Success: 7044
